route,source_file,content_id,kind,English,Español,中文,notes
(all pages via t()),src/i18n/messages/*.ts,lang.label,i18n,Language,Idioma,语言,
(all pages via t()),src/i18n/messages/*.ts,nav.home,i18n,Home,Inicio,首页,
(all pages via t()),src/i18n/messages/*.ts,nav.about,i18n,About ASra,Acerca de ASra,关于 ASra,
(all pages via t()),src/i18n/messages/*.ts,nav.truth,i18n,The Truth,La verdad,真相,
(all pages via t()),src/i18n/messages/*.ts,nav.record,i18n,Record of Soul,Registro del alma,灵魂档案,
(all pages via t()),src/i18n/messages/*.ts,nav.spirit,i18n,Spirit Medicine,Medicina espiritual,灵体医学,
(all pages via t()),src/i18n/messages/*.ts,nav.join,i18n,Join,Unirse,加入,
(all pages via t()),src/i18n/messages/*.ts,nav.achievements,i18n,Achievements,Logros,成果,
(all pages via t()),src/i18n/messages/*.ts,nav.back,i18n,← Back to Home,← Volver al inicio,← 返回首页,
(all pages via t()),src/i18n/messages/*.ts,nav.menu,i18n,MENU,MENÚ,菜单,
(all pages via t()),src/i18n/messages/*.ts,footer.copyright,i18n,© 2025 Woos Spirit Management Ltd. All rights reserved.,© 2025 Woos Spirit Management Ltd. Todos los derechos reservados.,© 2025 Woos Spirit Management Ltd. 保留所有权利。,
(all pages via t()),src/i18n/messages/*.ts,footer.disclaimer,i18n,"All research, footage, and data presented are based on verified scientific studies and firsthand experiential evidence.","Todas las investigaciones, imágenes y datos presentados se basan en estudios científicos verificados y en evidencia experiencial de primera mano.",本站展示的研究、影像与数据均基于经核实的科学研究与第一手体验证据。,
(all pages via t()),src/i18n/messages/*.ts,footer.researchNote,i18n,© 2025 Woos Spirit Management Ltd. · All research based on verified scientific studies.,© 2025 Woos Spirit Management Ltd. · Toda la investigación se basa en estudios científicos verificados.,© 2025 Woos Spirit Management Ltd. · 所有研究均基于经核实的科学研究。,
(all pages via t()),src/i18n/messages/*.ts,home.divider.documentary,i18n,The Documentary,El documental,纪录片,
(all pages via t()),src/i18n/messages/*.ts,home.divider.discoveries,i18n,Discoveries,Descubrimientos,发现,
(all pages via t()),src/i18n/messages/*.ts,home.divider.join,i18n,Join the Journey,Únete al viaje,加入旅程,
(all pages via t()),src/i18n/messages/*.ts,home.intro.badge,i18n,Spirit Ambassador Association,Asociación de embajadores del reino espiritual,灵界大使协会,
(all pages via t()),src/i18n/messages/*.ts,home.intro.title,i18n,What is ASra?,¿Qué es ASra?,什么是 ASra？,
(all pages via t()),src/i18n/messages/*.ts,home.intro.subtitle,i18n,Umma New Century Organization,Organización Umma New Century,乌玛新世纪组织,
(all pages via t()),src/i18n/messages/*.ts,home.intro.overviewBefore,i18n,The Umma New Century Organization is a ,La Organización Umma New Century es una ,乌玛新世纪组织是一个,
(all pages via t()),src/i18n/messages/*.ts,home.intro.overviewHighlight,i18n,dual-domain organization,organización de doble dominio,跨双域的组织,
(all pages via t()),src/i18n/messages/*.ts,home.intro.overviewAfter,i18n, spanning both the Spirit Realm and the physical world — uniting human ambassadors on Earth with Master Spirit administrators in the ethereal realm., que abarca el Reino Espiritual y el mundo físico — uniendo a embajadores humanos en la Tierra con administradores Maestros Espirituales en el plano etéreo.,——同时横跨灵界与物质世界：在地球上联结人类大使，在灵界与高级灵体管理者协同。,
