key,English (en),Español (es),中文 (zh),notes
lang.label,Language,Idioma,语言,
nav.home,Home,Inicio,首页,
nav.about,About ASra,Acerca de ASra,关于 ASra,
nav.truth,The Truth,La verdad,真相,
nav.record,Record of Soul,Registro del alma,灵魂档案,
nav.spirit,Spirit Medicine,Medicina espiritual,灵体医学,
nav.join,Join,Unirse,加入,
nav.achievements,Achievements,Logros,成果,
nav.back,← Back to Home,← Volver al inicio,← 返回首页,
nav.menu,MENU,MENÚ,菜单,
footer.copyright,© 2025 Woos Spirit Management Ltd. All rights reserved.,© 2025 Woos Spirit Management Ltd. Todos los derechos reservados.,© 2025 Woos Spirit Management Ltd. 保留所有权利。,
footer.disclaimer,"All research, footage, and data presented are based on verified scientific studies and firsthand experiential evidence.","Todas las investigaciones, imágenes y datos presentados se basan en estudios científicos verificados y en evidencia experiencial de primera mano.",本站展示的研究、影像与数据均基于经核实的科学研究与第一手体验证据。,
footer.researchNote,© 2025 Woos Spirit Management Ltd. · All research based on verified scientific studies.,© 2025 Woos Spirit Management Ltd. · Toda la investigación se basa en estudios científicos verificados.,© 2025 Woos Spirit Management Ltd. · 所有研究均基于经核实的科学研究。,
home.divider.documentary,The Documentary,El documental,纪录片,
home.divider.discoveries,Discoveries,Descubrimientos,发现,
home.divider.join,Join the Journey,Únete al viaje,加入旅程,
home.intro.badge,Spirit Ambassador Association,Asociación de embajadores del reino espiritual,灵界大使协会,
home.intro.title,What is ASra?,¿Qué es ASra?,什么是 ASra？,
home.intro.subtitle,Umma New Century Organization,Organización Umma New Century,乌玛新世纪组织,
home.intro.overviewBefore,The Umma New Century Organization is a ,La Organización Umma New Century es una ,乌玛新世纪组织是一个,
home.intro.overviewHighlight,dual-domain organization,organización de doble dominio,跨双域的组织,
home.intro.overviewAfter, spanning both the Spirit Realm and the physical world — uniting human ambassadors on Earth with Master Spirit administrators in the ethereal realm., que abarca el Reino Espiritual y el mundo físico — uniendo a embajadores humanos en la Tierra con administradores Maestros Espirituales en el plano etéreo.,——同时横跨灵界与物质世界：在地球上联结人类大使，在灵界与高级灵体管理者协同。,
home.intro.physicalWorld,Physical World,Mundo físico,物质世界,
home.intro.asraName,ASra,ASra,ASra,
home.intro.asraFull,Association of Spirit Realm's Ambassador,Asociación del Embajador del Reino Espiritual,灵界大使协会,
home.intro.asraBody,"Tens of thousands of human members distributed across all nations, ethnicities, and cultural communities worldwide. Empowered by Master Spirits, each member governs attached spirits and improves human health.","Decenas de miles de miembros humanos en todas las naciones, etnias y comunidades culturales. Empoderados por Maestros Espirituales, cada miembro gobierna espíritus adheridos y mejora la salud humana.",数以万计的人类会员遍布各国、各族群与各文化社群。在高级灵体赋能下，每位会员治理附体灵并改善人类健康。,
home.intro.spiritRealm,Spirit Realm,Reino espiritual,灵界,
home.intro.smscName,SMSC,SMSC,SMSC,
home.intro.smscFull,Society of Master Spirit Controllers,Sociedad de controladores Maestros Espirituales,高级灵体统御者协会,
home.intro.smscBody,Tens of thousands of Master Spirits — administrators in the Spirit Realm who govern ordinary spirits and human beings. Each Master Spirit is assigned 1:1 or 2:1 to an ASra human member.,Decenas de miles de Maestros Espirituales — administradores en el Reino Espiritual que gobiernan espíritus ordinarios y seres humanos. A cada Maestro Espiritual se le asigna 1:1 o 2:1 un miembro humano de ASra.,数以万计的高级灵体——灵界的管理者，治理普通灵体与人类。每位高级灵体与一名 ASra 人类会员形成 1:1 或 2:1 配对。,
home.intro.learnMore,✦   Full Organization Introduction   ✦,✦   Introducción completa de la organización   ✦,✦   完整组织介绍   ✦,
home.truth.title,The Truth of Spirit,La verdad del espíritu,灵的真相,
home.truth.subtitle,And Its Governor,Y su gobernante,及其主宰,
home.truth.seriesLabel,Documentary Series,Serie documental,纪录片系列,
home.truth.abstractHeading,Abstract: The Truth We Found,Resumen: la verdad que encontramos,摘要：我们发现的真相,
home.truth.abstractBody,"Through systematic exploration and firsthand experiential evidence, we have verified scientific methodologies to safely navigate and govern the unseen realm. The Woos Ethereal Life & Realm Documentary Series reveals it all.","Mediante exploración sistemática y evidencia experiencial de primera mano, hemos verificado metodologías científicas para navegar y gobernar con seguridad el reino invisible. La serie documental Woos Ethereal Life & Realm lo revela todo.",通过系统探索与第一手体验证据，我们验证了可安全航行并治理不可见之域的科学方法。《伍斯灵界生命与领域》纪录片系列揭示这一切。,
home.truth.videoTitle,Video Document Series,Serie de video documental,视频纪录系列,
home.truth.videoSubtitle,Journey across multiple dimensions and uncover the ancient truths spanning three seasons of dedicated research.,Recorre múltiples dimensiones y descubre verdades antiguas a lo largo de tres temporadas de investigación dedicada.,穿越多重维度，揭开三季专注研究中绵延的古老真相。,
home.truth.s1.season,SEASON 1,TEMPORADA 1,第一季,
home.truth.s1.title,Woos Record of Soul,Woos Registro del alma,伍斯灵魂档案,
home.truth.s1.description,"Collecting all true scientific research materials from East and West regarding spirits, PSI, NDE, past-life memories, and other topics related to spirits and the Ethereal Realm. With personal possession, supernatural and spirit-exorcism experiences.","Reúne materiales científicos verificables de Oriente y Occidente sobre espíritus, PSI, experiencias cercanas a la muerte, memorias de vidas pasadas y otros temas del reino etéreo, con experiencias personales de posesión, fenómenos sobrenaturales y exorcismo.",汇集东西方关于灵体、超感知、濒死体验、前世记忆等与灵及灵界相关的真实科研材料，附个人附体、灵异与驱灵经历。,
home.truth.s1.cta,Explore Season I,Explorar temporada I,进入第一季,
home.truth.s2.season,SEASON 2,TEMPORADA 2,第二季,
home.truth.s2.title,Woos Spirit Medicine,Woos Medicina espiritual,伍斯灵体医学,
home.truth.s2.description,"This documentary provides the evidence of spirits and ghosts existing while people are alive and after death from scientific perspective and causing illness to the physical body. The organs, physiological systems, and basic pathology of spirits.","Este documental presenta evidencia, desde una perspectiva científica, de espíritus y fantasmas en vida y tras la muerte, y cómo causan enfermedad al cuerpo físico: órganos, sistemas fisiológicos y patología básica de los espíritus.",从科学视角呈现生者与亡者之灵存在的证据，及其如何致病于肉体：灵体的器官、生理系统与基本病理。,
home.truth.s2.cta,Explore Season II,Explorar temporada II,进入第二季,
home.truth.s3.season,SEASON 3,TEMPORADA 3,第三季,
home.truth.s3.title,Universal Matrix of Meta Awareness,Matriz universal de meta-conciencia,元觉知宇宙矩阵,
home.truth.s3.description,"This documentary presents evidence for the existence of the Universal Matrix of Meta Awareness. It controls human free consciousness, the evolution of life on Earth, and the ultimate destiny of human civilization.","Este documental presenta evidencia de la existencia de la Matriz Universal de Meta-Conciencia: controla la conciencia libre humana, la evolución de la vida en la Tierra y el destino último de la civilización.",呈现元觉知宇宙矩阵存在的证据：它调控人类自由意识、地球生命的演化与人类文明的终极命运。,
home.truth.s3.cta,Explore Season III,Explorar temporada III,进入第三季,
home.achievements.title,2025 Livestream Achievements,Logros en vivo 2025,2025 直播成果,
home.achievements.subtitle,TikTok field · YouTube replay archive · ASra,Campo TikTok · Archivo en YouTube · ASra,TikTok 现场 · YouTube 回放档案 · ASra,
home.achievements.lead,"For the first time, humanity has a systematic, field-scale picture of how American spirits (ghosts) attach, what they forget, and how they intersect with treatment-resistant mental-health presentations — documented through anonymized charity sessions and replay archives.","Por primera vez la humanidad dispone de una visión sistemática en campo sobre cómo se adhieren los espíritus estadounidenses (fantasmas), qué olvidan y cómo se cruzan con cuadros mentales refractarios al tratamiento — documentado en sesiones benéficas anónimas y archivos de repetición.",人类首次获得系统化、田野尺度的图景：美国灵体（鬼）如何附体、它们忘却什么、又如何与难治性精神健康表现相交——经由匿名慈善场次与回放档案记录。,
home.achievements.card1Title,Scale in one year,Escala en un año,一年内的规模,
home.achievements.card1Body,"255+ charity livestreams, 800+ hours on TikTok, 70,000+ listeners reached, 1,200+ deep interviews, 240+ patients improved, ~400 spirits (ghosts) manifested — anonymized cohort with structured replay documentation on YouTube.","Más de 255 transmisiones benéficas, más de 800 horas en TikTok, más de 70.000 oyentes, más de 1.200 entrevistas en profundidad, más de 240 pacientes mejorados, ~400 espíritus manifestados — cohorte anónima con repeticiones documentadas en YouTube.","255+ 场慈善直播、800+ 小时 TikTok、70,000+ 听众、1,200+ 深度访谈、240+ 来访者改善、约 400 次灵体显化——匿名队列，YouTube 上有结构化回放记录。",
home.achievements.card2Title,What the full dossier contains,Qué incluye el expediente,完整档案包含,
home.achievements.card2Body,"Memory & control infographics, fascinating attachment capsules, master-spirit manifestations, clinical-style condition taxonomy, dual livestream techniques, >80% rapid relief outcomes, in-session experiments, and four special case studies.","Infografías de memoria y control, casos de apego, manifestaciones de maestros, taxonomía clínica, dos técnicas en vivo, alivio rápido en >80 % de los casos, experimentos en sesión y cuatro estudios de caso especiales.",记忆与调控信息图、附体个案摘要、高级灵显化、临床式症状分类、双轨直播技术、>80% 快速缓解、会话内实验与四项特别案例研究。,
home.achievements.ctaIntro,"Open the 2025 report: gallery, animated metrics, medical workflow, and case studies.","Abrir el informe 2025: galería, métricas animadas, flujo clínico y casos.",打开 2025 报告：画廊、动效指标、医疗流程与案例。,
home.achievements.cta,✦   View: 2025 Livestream Achievements   ✦,✦   Ver: logros en vivo 2025   ✦,✦   查看：2025 直播成果   ✦,
achievementsPage.hero.badge,Field documentation · ASra practice,Documentación de campo · Práctica ASra,田野记录 · ASra 实践,
achievementsPage.hero.title,Our Achievements in Mental Health Support,Nuestros logros en apoyo a la salud mental,我们在心理健康支持中的成果,
achievementsPage.hero.subtitle,"A structured summary of anonymized, live-session outcomes coordinated with Master Spirit teams in China and the United States — written in a clinical reporting style for transparency.","Resumen estructurado de resultados anónimos en sesiones en vivo, coordinados con equipos de Maestros Espirituales en China y Estados Unidos — redactado al estilo de informes clínicos para transparencia.",对匿名、现场会话结果的结构性摘要，与中美高级灵体团队协同——以临床报告风格撰写以利透明。,
achievementsPage.hero.pill1,Anonymized cohort,Cohorte anónima,匿名队列,
achievementsPage.hero.pill2,Session-based metrics,Métricas por sesión,按会话统计,
achievementsPage.hero.pill3,Cross-realm collaboration,Colaboración transreino,跨界协作,
achievementsPage.scope.title,Practice context & methodology,Contexto de la práctica y metodología,实践背景与方法,
achievementsPage.scope.body,"During approximately the past year of TikTok live broadcasts, participants arrived as anonymous, randomly presenting individuals without prior triage. Each encounter used a consistent initial window of thirty minutes for structured exchange, assessment, and spirit-realm–assisted regulation. Outcomes below combine session documentation with participant self-reports; they are presented to illustrate the breadth of the practice rather than as a substitute for peer-reviewed clinical trials.","Durante aproximadamente el último año de transmisiones en vivo en TikTok, los participantes llegaron de forma anónima y aleatoria, sin triaje previo. Cada encuentro usó una ventana inicial uniforme de treinta minutos para intercambio estructurado, evaluación y regulación asistida desde el reino espiritual. Los resultados combinan documentación de sesión con autoinformes; se presentan para ilustrar el alcance de la práctica, no como sustituto de ensayos clínicos revisados por pares.",在过去约一年的 TikTok 直播中，参与者以匿名、随机到场的方式进入，无事先分诊。每次接触均使用统一的首个三十分钟窗口，进行结构化交流、评估与灵界辅助调节。下列结果合并了会话记录与参与者自述；旨在展示实践广度，而非替代同行评审临床试验。,
achievementsPage.scope.caption,"Listening, dignity, and steadiness in every first contact.","Escucha, dignidad y firmeza en cada primer contacto.",每一次首次接触中的倾听、尊严与稳定。,
achievementsPage.banner.together,Behind every figure is a real person seeking relief — and a community of practitioners holding space for change.,Tras cada cifra hay una persona real que busca alivio — y una comunidad que sostiene el espacio para el cambio.,每个数字背后都是在寻求缓解的真实的人——以及为改变托住空间的社群。,
achievementsPage.stat1.value,240+,240+,240+,
achievementsPage.stat1.label,"Individuals with mental-health–related presentations engaged through the live program (cumulative, ~one year).","Personas con presentaciones relacionadas con la salud mental atendidas en el programa en vivo (acumulado, ~un año).",通过直播项目接触到的与精神健康相关表现者（累计，约一年）。,
achievementsPage.stat2.value,80%+,80%+,80%+,
achievementsPage.stat2.label,"Reported rapid, marked improvement in emotional state and overall condition after the first 30-minute structured session.",Informaron mejora rápida y marcada del estado emocional y general tras la primera sesión estructurada de 30 minutos.,在首次 30 分钟结构化会话后，报告情绪与整体状态快速、显著改善。,
achievementsPage.stat3.value,1×,1×,1×,
achievementsPage.stat3.label,"A notable subset describe complete symptomatic resolution or long-term stability after a single intensive session, with no recurrence reported to date (participant-described).","Un subgrupo notable describe resolución sintomática completa o estabilidad a largo plazo tras una sola sesión intensiva, sin recurrencia informada hasta la fecha (según participantes).",值得注意的一部分人称：在一次强化会话后即达症状完全缓解或长期稳定，至今无复发（参与者自述）。,
achievementsPage.conditions.title,Presentations & condition categories addressed,Presentaciones y categorías de condiciones abordadas,所涉及的主诉与症状类别,
achievementsPage.conditions.caption,Taxonomy (non-exhaustive),Taxonomía (no exhaustiva),分类（非穷尽）,
